# gamble_id, class_id, h_ret, h_prob, m_ret, m_prob, l_ret, l_prob
38, 12, 10.677522, 0.268831, 0.817337, 0.405611, 0.141630, 0.325558 
39, 7, 3.828353, 0.210082, 0.294247, 0.455457, 0.188076, 0.334460 
40, 11, 7.666917, 0.157962, 4.254288, 0.608211, 0.613263, 0.233828 
41, 4, 0.937773, 0.165213, 0.625362, 0.475859, 0.571348, 0.358928 
42, 6, 33.691467, 0.020682, 2.462874, 0.624499, 2.282266, 0.354818 
43, 3, 9.178122, 0.314057, 0.399613, 0.685291, 0.283917, 0.000652 
44, 7, 3.959424, 0.374473, 0.769874, 0.422020, 0.308331, 0.203507 
45, 12, 1.507318, 0.307296, 0.755268, 0.574376, 0.704858, 0.118328 
46, 15, 16.052953, 0.121784, 2.381232, 0.675896, 1.067994, 0.202320 
47, 9, 11.588020, 0.220592, 0.474580, 0.533296, 0.178861, 0.246112 
48, 11, 0.534642, 0.211913, 0.144779, 0.588982, 0.140981, 0.199104 
49, 5, 3.470963, 0.298427, 2.354520, 0.569597, 2.328050, 0.131976 
50, 6, 4.241168, 0.251043, 0.515033, 0.683512, 0.288954, 0.065446 
51, 3, 3.343123, 0.259819, 3.228099, 0.729542, 3.217075, 0.010639 
52, 10, 6.718049, 0.257043, 2.781928, 0.589129, 0.840518, 0.153828 
53, 1, 9.952502, 0.184944, 1.199663, 0.478806, 0.759782, 0.336250 
54, 15, 3.926325, 0.166811, 0.658625, 0.667468, 0.144286, 0.165721 
55, 8, 3.476250, 0.118014, 0.505080, 0.808876, 0.382505, 0.073110 
56, 12, 2.649775, 0.198500, 1.418656, 0.450692, 1.403561, 0.350808 
57, 8, 1.474891, 0.275330, 0.717850, 0.632102, 0.274287, 0.092568 
58, 2, 1.124251, 0.219765, 1.085584, 0.641131, 1.084326, 0.139104 
59, 2, 2.872144, 0.196246, 2.709302, 0.660305, 2.684013, 0.143448 
60, 11, 2.305106, 0.425418, 0.232970, 0.536029, 0.163975, 0.038553 
61, 8, 4.704655, 0.060000, 1.515456, 0.617403, 1.479020, 0.322597 
62, 6, 3.322204, 0.443564, 3.140004, 0.433740, 3.040608, 0.122696 
63, 2, 1.164407, 0.219039, 0.643344, 0.527717, 0.621796, 0.253244 
64, 1, 6.029341, 0.052407, 0.684716, 0.699906, 0.368846, 0.247687 
65, 7, 1.949820, 0.106672, 0.078695, 0.724975, 0.026516, 0.168353 
66, 2, 1830.406361, 0.001110, 2.218037, 0.724605, 0.452041, 0.274285 
67, 11, 5.237295, 0.205518, 0.998047, 0.548643, 0.441820, 0.245839 
68, 7, 20.730542, 0.051114, 0.353678, 0.696180, 0.031643, 0.252706 
69, 9, 1.963464, 0.213553, 1.903430, 0.683846, 1.852689, 0.102601 
70, 8, 7.305266, 0.225179, 2.953621, 0.577614, 1.743219, 0.197207 
71, 13, 6.672084, 0.259244, 4.132478, 0.487696, 0.503781, 0.253061 
72, 15, 2.982739, 0.157574, 2.033632, 0.635501, 0.620017, 0.206926 
73, 3, 6.119226, 0.320141, 3.481546, 0.419992, 2.154907, 0.259868 
74, 7, 4.475143, 0.167677, 2.271434, 0.558614, 0.776388, 0.273710 
75, 2, 0.843867, 0.246450, 0.496408, 0.516489, 0.371875, 0.237061 
76, 11, 5.145271, 0.444065, 2.440859, 0.550281, 1.455282, 0.005654 
77, 13, 3.305780, 0.160127, 2.168049, 0.576500, 1.566024, 0.263373 
78, 3, 27.153821, 0.023619, 2.368493, 0.508852, 0.531226, 0.467529 
79, 1, 8.582995, 0.092953, 0.909439, 0.464468, 0.652601, 0.442579 
80, 10, 1.218616, 0.295345, 0.730743, 0.476301, 0.391948, 0.228354 
81, 5, 3.469140, 0.326169, 1.679685, 0.531317, 1.595750, 0.142514 
82, 5, 12.304081, 0.096412, 2.338116, 0.662036, 1.255942, 0.241551 
83, 9, 0.377272, 0.291032, 0.338911, 0.483183, 0.299684, 0.225786 
84, 2, 0.643077, 0.198162, 0.526376, 0.500861, 0.485241, 0.300977 
85, 9, 3.276704, 0.444757, 1.424004, 0.483312, 0.413514, 0.071931 
86, 1, 48.548621, 0.029152, 2.306536, 0.673384, 1.880402, 0.297464 
87, 4, 1.141969, 0.079599, 0.892810, 0.913818, 0.484030, 0.006583 
88, 1, 2.755366, 0.137929, 1.816009, 0.570771, 0.236842, 0.291301 
89, 3, 0.497362, 0.308142, 0.147232, 0.589475, 0.117868, 0.102383 
90, 7, 2.687158, 0.318553, 2.432370, 0.605231, 2.424727, 0.076216 
91, 5, 6.183913, 0.200867, 1.885990, 0.635482, 0.534511, 0.163651 
92, 13, 3.846704, 0.225207, 3.665220, 0.667064, 3.583407, 0.107729 
93, 13, 1.181813, 0.289046, 0.587952, 0.687736, 0.218432, 0.023218 
94, 3, 6.252907, 0.200497, 3.109068, 0.600659, 0.554040, 0.198844 
95, 4, 0.588083, 0.346392, 0.379097, 0.509179, 0.354778, 0.144429 
96, 2, 4.671984, 0.121785, 2.167446, 0.445874, 0.978421, 0.432341 
97, 9, 5.424722, 0.321946, 3.120449, 0.667413, 2.144321, 0.010641 
98, 7, 0.509041, 0.189278, 0.469959, 0.533809, 0.460098, 0.276913 
99, 1, 5.730197, 0.225789, 3.338220, 0.539532, 3.333550, 0.234679 
100, 5, 3.743952, 0.237160, 2.700073, 0.506471, 2.593259, 0.256369 
101, 4, 1.956876, 0.188335, 1.493989, 0.582698, 0.964434, 0.228967 
102, 3, 7.040580, 0.171633, 1.494425, 0.617456, 1.307931, 0.210911 
103, 5, 3.609525, 0.213059, 1.542726, 0.582995, 1.526362, 0.203946 
104, 5, 4.699761, 0.077355, 1.015564, 0.904797, 0.991682, 0.017848 
105, 11, 0.331987, 0.167149, 0.081112, 0.626744, 0.036415, 0.206107 
106, 12, 9.268965, 0.164197, 3.305450, 0.414539, 2.443848, 0.421264 
107, 10, 1.156497, 0.310136, 1.027147, 0.559265, 0.971947, 0.130599 
108, 13, 4.340387, 0.243725, 2.099317, 0.483527, 2.022553, 0.272748 
109, 9, 6.067148, 0.261710, 2.977658, 0.703991, 1.626135, 0.034299 
110, 15, 3.967035, 0.145513, 2.425660, 0.505719, 1.176774, 0.348768 
111, 15, 1.038348, 0.116684, 0.204449, 0.689736, 0.127302, 0.193581 
112, 15, 2.094360, 0.248539, 1.308742, 0.639427, 1.117210, 0.112035 
113, 13, 3.238503, 0.053912, 2.600312, 0.763455, 2.499723, 0.182633 
114, 14, 3.810078, 0.573133, 0.304860, 0.421552, 0.069821, 0.005315 
115, 6, 7.914064, 0.300427, 1.970512, 0.512253, 0.994277, 0.187320 
116, 10, 11.374637, 0.252559, 1.543684, 0.567852, 1.039002, 0.179589 
117, 4, 0.379592, 0.180598, 0.208399, 0.694536, 0.183529, 0.124865 
118, 15, 0.919191, 0.151509, 0.297996, 0.508513, 0.005526, 0.339978 
119, 13, 5.445387, 0.211388, 4.046460, 0.519221, 0.217583, 0.269391 
120, 14, 7.820600, 0.096882, 3.253467, 0.731285, 1.951623, 0.171833 
121, 14, 3.885166, 0.253546, 2.782823, 0.732214, 1.211295, 0.014239 
122, 1, 3.796589, 0.299181, 0.936985, 0.633453, 0.296884, 0.067366 
123, 0, 8.224714, 0.081423, 2.205080, 0.635233, 1.345784, 0.283344 
124, 4, 27.792018, 0.057321, 1.597033, 0.743522, 0.283383, 0.199156 
125, 10, 4.231564, 0.205519, 0.684714, 0.707136, 0.630451, 0.087345 
126, 11, 3.827792, 0.362576, 2.939903, 0.519646, 1.629939, 0.117777 
127, 9, 0.954374, 0.210800, 0.916225, 0.554015, 0.902236, 0.235185 
128, 2, 2.531088, 0.293574, 1.965460, 0.682887, 1.618493, 0.023538 
129, 0, 25.123867, 0.036085, 1.083641, 0.802128, 0.364212, 0.161787 
130, 8, 1.081930, 0.254283, 0.887130, 0.647671, 0.861081, 0.098046 
131, 6, 0.714334, 0.313364, 0.213904, 0.572694, 0.140756, 0.113942 
132, 6, 5.885555, 0.117903, 3.300736, 0.420080, 2.682857, 0.462017 
133, 7, 1.192839, 0.238780, 0.801117, 0.623952, 0.798528, 0.137268 
134, 7, 4.759450, 0.278195, 3.754182, 0.490770, 3.467279, 0.231034 
135, 13, 2.553255, 0.324536, 2.348307, 0.605891, 2.208171, 0.069573 
136, 6, 25.851224, 0.020168, 1.008709, 0.774684, 0.783296, 0.205148 
137, 15, 3.442660, 0.258342, 1.587176, 0.518930, 0.008999, 0.222727 
138, 1, 3.569687, 0.289775, 1.741632, 0.707752, 0.387510, 0.002473 
139, 4, 0.170451, 0.282608, 0.168877, 0.641984, 0.163751, 0.075408 
140, 0, 2.685216, 0.383748, 0.249990, 0.488510, 0.207537, 0.127742 
141, 7, 3.360457, 0.204246, 1.157322, 0.584488, 0.926198, 0.211266 
142, 12, 6.160485, 0.231596, 1.876886, 0.532016, 0.128053, 0.236388 
143, 15, 2.911591, 0.194500, 1.783579, 0.801954, 1.200048, 0.003546 
144, 2, 1.369931, 0.198180, 0.256252, 0.662498, 0.198729, 0.139322 
145, 9, 2.408128, 0.138736, 1.813756, 0.783177, 0.962674, 0.078087 
146, 4, 10.196208, 0.264451, 0.989151, 0.586361, 0.871773, 0.149187 
147, 13, 6.962997, 0.272609, 1.759534, 0.669799, 1.501340, 0.057593 
148, 6, 5.133566, 0.272670, 4.927252, 0.433369, 1.109481, 0.293961 
149, 15, 1.949252, 0.098241, 1.626214, 0.799465, 1.059803, 0.102294 
150, 0, 2.083666, 0.204437, 0.829445, 0.430313, 0.643492, 0.365250 
151, 4, 4.259920, 0.359516, 1.883749, 0.533111, 1.835294, 0.107372 
152, 1, 1.395142, 0.310319, 1.207023, 0.427738, 0.778601, 0.261943 
153, 12, 4.864861, 0.024232, 4.036582, 0.767661, 0.225087, 0.208107 
154, 7, 0.267148, 0.245321, 0.230869, 0.488133, 0.055637, 0.266546 
155, 14, 0.941139, 0.138336, 0.649515, 0.705539, 0.545919, 0.156124 
156, 7, 14.440268, 0.196627, 1.178712, 0.672523, 0.826851, 0.130850 
157, 6, 2.481468, 0.321467, 2.098500, 0.655396, 2.038954, 0.023138 
158, 12, 0.533333, 0.029620, 0.079341, 0.481739, 0.028833, 0.488641 
159, 4, 0.538176, 0.223606, 0.076839, 0.562664, 0.052076, 0.213730 
160, 10, 13.201706, 0.132498, 1.908397, 0.528699, 1.201826, 0.338803 
161, 4, 9.224697, 0.107466, 0.339721, 0.808320, 0.041844, 0.084214 
162, 1, 1.258144, 0.278926, 0.477525, 0.669862, 0.070499, 0.051212 
163, 14, 0.181718, 0.439139, 0.169631, 0.485896, 0.167528, 0.074964 
164, 2, 0.520981, 0.250303, 0.450003, 0.591481, 0.334156, 0.158216 
165, 14, 3.058697, 0.260782, 2.570693, 0.533199, 2.555686, 0.206019 
166, 11, 7.021468, 0.208894, 0.543616, 0.630404, 0.442090, 0.160702 
167, 2, 2.380483, 0.186457, 1.934744, 0.601294, 1.905963, 0.212249 
168, 12, 2.680172, 0.377448, 2.420806, 0.480499, 2.134605, 0.142052 
169, 13, 1.079810, 0.396397, 1.077790, 0.580119, 1.035663, 0.023484 
170, 0, 7.593821, 0.052866, 2.288783, 0.691038, 2.242897, 0.256096 
171, 4, 7.397886, 0.182335, 2.207861, 0.691959, 2.025172, 0.125706 
172, 9, 3.778762, 0.408657, 3.760562, 0.571831, 2.147950, 0.019513 
173, 7, 2.366274, 0.232261, 2.008808, 0.631438, 1.794057, 0.136301 
174, 9, 5.351334, 0.059739, 2.178410, 0.469750, 2.094494, 0.470511 
175, 14, 9.308485, 0.228322, 1.762382, 0.497601, 0.554417, 0.274077 
176, 10, 0.779798, 0.312524, 0.619392, 0.677747, 0.019106, 0.009729 
177, 7, 65.944936, 0.036082, 0.115700, 0.560195, 0.043156, 0.403723 
178, 3, 0.503739, 0.264580, 0.209600, 0.697491, 0.185514, 0.037929 
179, 0, 10.079093, 0.132015, 0.725570, 0.561385, 0.491674, 0.306600 
180, 1, 48.919425, 0.015924, 0.993333, 0.903520, 0.105811, 0.080556 
181, 3, 4.533123, 0.388565, 2.813969, 0.564926, 2.777830, 0.046509 
182, 5, 3.301958, 0.224579, 2.791863, 0.658305, 2.751156, 0.117116 
183, 15, 5.450308, 0.237368, 1.424747, 0.665888, 1.081085, 0.096744 
184, 12, 0.046753, 0.421993, 0.028116, 0.540930, 0.022962, 0.037077 
185, 12, 8.362932, 0.190589, 4.359340, 0.553449, 0.012981, 0.255963 
186, 4, 0.630499, 0.187954, 0.254707, 0.592720, 0.088878, 0.219326 
187, 15, 96.228512, 0.010994, 3.005105, 0.766360, 0.600084, 0.222646 
188, 14, 8.004111, 0.080675, 0.441628, 0.560172, 0.351364, 0.359153 
189, 3, 4.478601, 0.310077, 1.278299, 0.575122, 0.551105, 0.114801 
190, 6, 5.279985, 0.410014, 3.148164, 0.475401, 2.304101, 0.114585 
191, 9, 3.081463, 0.314018, 2.014931, 0.547263, 0.838967, 0.138719 
192, 8, 3.847876, 0.069004, 1.105877, 0.653053, 0.860723, 0.277943 
193, 3, 6.555082, 0.262680, 1.245786, 0.488404, 0.682051, 0.248916 
194, 6, 14.842824, 0.066100, 3.026381, 0.596579, 3.013766, 0.337320 
195, 1, 0.757975, 0.304162, 0.701130, 0.476419, 0.645936, 0.219418 
196, 10, 2.861182, 0.348706, 0.716685, 0.624867, 0.482492, 0.026427 
197, 9, 3.540610, 0.322421, 3.478024, 0.419565, 3.434988, 0.258014 
198, 1, 1.413225, 0.267980, 1.336457, 0.674176, 1.164475, 0.057844 
199, 13, 4.194218, 0.201702, 4.026048, 0.712087, 2.825805, 0.086211 
200, 5, 0.873865, 0.288963, 0.585033, 0.614502, 0.270187, 0.096536 
201, 8, 0.061562, 0.323629, 0.054735, 0.501964, 0.008113, 0.174406 
202, 14, 3.825703, 0.219898, 2.235286, 0.523081, 1.177377, 0.257021 
203, 7, 1.024840, 0.227591, 0.756641, 0.568785, 0.708139, 0.203624 
204, 4, 6.249128, 0.093758, 0.241884, 0.661113, 0.069015, 0.245129 
205, 5, 1.372826, 0.188774, 1.323860, 0.706840, 1.309690, 0.104386 

# gi, gj
0, 4 
0, 5 
0, 10 
0, 11 
0, 12 
0, 13 
0, 15 
0, 17 
0, 16 
0, 19 
0, 18 
0, 25 
0, 24 
0, 27 
0, 29 
0, 28 
0, 34 
0, 35 
0, 32 
0, 33 
0, 39 
0, 37 
0, 40 
0, 41 
0, 46 
0, 47 
0, 45 
0, 51 
0, 50 
0, 49 
0, 55 
0, 52 
0, 59 
0, 58 
0, 57 
0, 56 
0, 62 
0, 61 
0, 60 
0, 68 
0, 69 
0, 71 
0, 64 
0, 65 
0, 67 
0, 78 
0, 79 
0, 72 
0, 73 
0, 75 
0, 85 
0, 86 
0, 81 
0, 83 
0, 82 
0, 93 
0, 95 
0, 89 
0, 88 
0, 91 
0, 90 
0, 103 
0, 100 
0, 98 
0, 99 
0, 96 
0, 110 
0, 108 
0, 107 
0, 105 
0, 117 
0, 116 
0, 115 
0, 114 
0, 113 
0, 112 
0, 127 
0, 124 
0, 121 
0, 137 
0, 136 
0, 138 
0, 141 
0, 140 
0, 143 
0, 142 
0, 129 
0, 130 
0, 134 
0, 152 
0, 153 
0, 155 
0, 157 
0, 158 
0, 159 
0, 144 
0, 146 
0, 147 
0, 148 
0, 149 
0, 150 
0, 171 
0, 170 
0, 169 
0, 168 
0, 175 
0, 174 
0, 172 
0, 163 
0, 161 
0, 160 
0, 167 
0, 166 
0, 164 
0, 186 
0, 187 
0, 190 
0, 191 
0, 188 
0, 189 
0, 179 
0, 176 
0, 182 
0, 183 
0, 180 
0, 181 
0, 205 
0, 204 
0, 201 
0, 203 
0, 202 
0, 197 
0, 196 
0, 199 
0, 198 
0, 193 
0, 195 
0, 194 
1, 2 
1, 3 
1, 5 
1, 6 
1, 8 
1, 9 
1, 11 
1, 12 
1, 13 
1, 14 
1, 15 
1, 17 
1, 16 
1, 19 
1, 20 
1, 23 
1, 22 
1, 26 
1, 29 
1, 28 
1, 31 
1, 34 
1, 39 
1, 36 
1, 37 
1, 42 
1, 47 
1, 45 
1, 51 
1, 50 
1, 49 
1, 55 
1, 54 
1, 53 
1, 52 
1, 59 
1, 58 
1, 63 
1, 62 
1, 60 
1, 70 
1, 64 
1, 67 
1, 76 
1, 78 
1, 73 
1, 80 
1, 83 
1, 82 
1, 93 
1, 92 
1, 95 
1, 94 
1, 88 
1, 90 
1, 102 
1, 103 
1, 101 
1, 98 
1, 99 
1, 97 
1, 110 
1, 111 
1, 108 
1, 109 
1, 107 
1, 105 
1, 118 
1, 115 
1, 113 
1, 126 
1, 124 
1, 123 
1, 137 
1, 136 
1, 139 
1, 138 
1, 143 
1, 142 
1, 129 
1, 130 
1, 133 
1, 134 
1, 152 
1, 154 
1, 155 
1, 157 
1, 159 
1, 145 
1, 147 
1, 170 
1, 168 
1, 175 
1, 174 
1, 173 
1, 172 
1, 163 
1, 162 
1, 161 
1, 167 
1, 165 
1, 187 
1, 185 
1, 190 
1, 188 
1, 178 
1, 182 
1, 183 
1, 180 
1, 204 
1, 201 
1, 203 
1, 202 
1, 196 
1, 198 
1, 193 
1, 192 
2, 3 
2, 4 
2, 5 
2, 8 
2, 9 
2, 11 
2, 12 
2, 13 
2, 14 
2, 17 
2, 19 
2, 18 
2, 20 
2, 23 
2, 22 
2, 25 
2, 26 
2, 28 
2, 30 
2, 32 
2, 38 
2, 36 
2, 43 
2, 40 
2, 46 
2, 47 
2, 44 
2, 45 
2, 51 
2, 50 
2, 55 
2, 54 
2, 53 
2, 52 
2, 59 
2, 58 
2, 56 
2, 61 
2, 60 
2, 68 
2, 70 
2, 71 
2, 65 
2, 76 
2, 78 
2, 74 
2, 75 
2, 87 
2, 86 
2, 81 
2, 80 
2, 83 
2, 93 
2, 92 
2, 94 
2, 89 
2, 90 
2, 102 
2, 100 
2, 101 
2, 98 
2, 99 
2, 97 
2, 110 
2, 111 
2, 108 
2, 106 
2, 104 
2, 119 
2, 118 
2, 115 
2, 114 
2, 113 
2, 112 
2, 127 
2, 125 
2, 124 
2, 123 
2, 122 
2, 121 
2, 120 
2, 138 
2, 141 
2, 140 
2, 143 
2, 142 
2, 129 
2, 128 
2, 131 
2, 133 
2, 135 
2, 134 
2, 152 
2, 153 
2, 154 
2, 157 
2, 159 
2, 144 
2, 146 
2, 147 
2, 149 
2, 150 
2, 171 
2, 170 
2, 169 
2, 168 
2, 175 
2, 174 
2, 173 
2, 163 
2, 162 
2, 161 
2, 160 
2, 167 
2, 166 
2, 164 
2, 186 
2, 187 
2, 190 
2, 191 
2, 178 
2, 176 
2, 183 
2, 181 
2, 205 
2, 204 
2, 201 
2, 200 
2, 203 
2, 202 
2, 198 
2, 193 
2, 192 
2, 194 
3, 4 
3, 5 
3, 6 
3, 7 
3, 8 
3, 12 
3, 15 
3, 16 
3, 19 
3, 18 
3, 21 
3, 23 
3, 24 
3, 26 
3, 28 
3, 30 
3, 34 
3, 35 
3, 32 
3, 33 
3, 39 
3, 36 
3, 37 
3, 42 
3, 43 
3, 46 
3, 45 
3, 51 
3, 50 
3, 48 
3, 55 
3, 54 
3, 53 
3, 52 
3, 59 
3, 58 
3, 56 
3, 62 
3, 61 
3, 60 
3, 69 
3, 71 
3, 64 
3, 65 
3, 67 
3, 77 
3, 78 
3, 72 
3, 73 
3, 75 
3, 85 
3, 84 
3, 86 
3, 82 
3, 95 
3, 94 
3, 88 
3, 91 
3, 90 
3, 103 
3, 101 
3, 98 
3, 99 
3, 96 
3, 97 
3, 110 
3, 109 
3, 106 
3, 117 
3, 116 
3, 114 
3, 113 
3, 112 
3, 126 
3, 123 
3, 122 
3, 120 
3, 137 
3, 136 
3, 138 
3, 141 
3, 140 
3, 143 
3, 129 
3, 128 
3, 130 
3, 132 
3, 135 
3, 152 
3, 157 
3, 159 
3, 144 
3, 148 
3, 171 
3, 170 
3, 168 
3, 175 
3, 174 
3, 173 
3, 172 
3, 167 
3, 166 
3, 184 
3, 185 
3, 190 
3, 191 
3, 189 
3, 179 
3, 176 
3, 182 
3, 183 
3, 181 
3, 205 
3, 204 
3, 200 
3, 202 
3, 196 
3, 199 
3, 198 
3, 193 
3, 195 
3, 194 
4, 6 
4, 9 
4, 10 
4, 11 
4, 14 
4, 15 
4, 16 
4, 19 
4, 21 
4, 20 
4, 22 
4, 25 
4, 24 
4, 27 
4, 26 
4, 29 
4, 28 
4, 31 
4, 38 
4, 39 
4, 36 
4, 41 
4, 46 
4, 44 
4, 51 
4, 50 
4, 49 
4, 53 
4, 52 
4, 59 
4, 57 
4, 56 
4, 60 
4, 68 
4, 69 
4, 70 
4, 76 
4, 77 
4, 78 
4, 79 
4, 72 
4, 73 
4, 85 
4, 86 
4, 83 
4, 82 
4, 93 
4, 92 
4, 94 
4, 88 
4, 91 
4, 90 
4, 103 
4, 100 
4, 101 
4, 96 
4, 97 
4, 108 
4, 109 
4, 106 
4, 104 
4, 105 
4, 119 
4, 118 
4, 116 
4, 115 
4, 114 
4, 112 
4, 126 
4, 124 
4, 123 
4, 122 
4, 121 
4, 139 
4, 140 
4, 143 
4, 129 
4, 128 
4, 131 
4, 132 
4, 135 
4, 154 
4, 157 
4, 158 
4, 159 
4, 144 
4, 147 
4, 148 
4, 150 
4, 151 
4, 171 
4, 170 
4, 169 
4, 168 
4, 175 
4, 174 
4, 173 
4, 172 
4, 162 
4, 161 
4, 160 
4, 167 
4, 166 
4, 165 
4, 164 
4, 186 
4, 185 
4, 191 
4, 188 
4, 189 
4, 176 
4, 177 
4, 182 
4, 180 
4, 181 
4, 205 
4, 201 
4, 200 
4, 203 
4, 202 
4, 197 
4, 196 
4, 199 
4, 198 
4, 193 
4, 194 
5, 6 
5, 8 
5, 9 
5, 11 
5, 13 
5, 14 
5, 17 
5, 22 
5, 24 
5, 26 
5, 29 
5, 28 
5, 34 
5, 35 
5, 32 
5, 33 
5, 38 
5, 39 
5, 42 
5, 43 
5, 40 
5, 41 
5, 46 
5, 47 
5, 45 
5, 51 
5, 49 
5, 48 
5, 55 
5, 54 
5, 52 
5, 59 
5, 58 
5, 57 
5, 62 
5, 61 
5, 60 
5, 69 
5, 70 
5, 71 
5, 64 
5, 65 
5, 66 
5, 67 
5, 77 
5, 78 
5, 79 
5, 72 
5, 73 
5, 74 
5, 84 
5, 81 
5, 82 
5, 93 
5, 92 
5, 95 
5, 94 
5, 89 
5, 88 
5, 91 
5, 103 
5, 100 
5, 101 
5, 98 
5, 99 
5, 96 
5, 97 
5, 110 
5, 111 
5, 108 
5, 104 
5, 118 
5, 117 
5, 116 
5, 115 
5, 114 
5, 112 
5, 127 
5, 126 
5, 125 
5, 124 
5, 123 
5, 121 
5, 120 
5, 137 
5, 141 
5, 143 
5, 128 
5, 131 
5, 130 
5, 132 
5, 134 
5, 152 
5, 153 
5, 154 
5, 157 
5, 158 
5, 144 
5, 148 
5, 149 
5, 151 
5, 171 
5, 168 
5, 174 
5, 172 
5, 163 
5, 162 
5, 161 
5, 166 
5, 185 
5, 188 
5, 178 
5, 179 
5, 176 
5, 177 
5, 182 
5, 205 
5, 204 
5, 200 
5, 203 
5, 196 
5, 199 
5, 198 
5, 193 
5, 192 
5, 194 
6, 8 
6, 9 
6, 10 
6, 11 
6, 12 
6, 14 
6, 15 
6, 17 
6, 19 
6, 21 
6, 20 
6, 22 
6, 29 
6, 35 
6, 38 
6, 39 
6, 36 
6, 37 
6, 42 
6, 40 
6, 41 
6, 46 
6, 47 
6, 45 
6, 51 
6, 50 
6, 49 
6, 48 
6, 54 
6, 59 
6, 58 
6, 57 
6, 56 
6, 61 
6, 60 
6, 69 
6, 70 
6, 65 
6, 66 
6, 76 
6, 78 
6, 72 
6, 73 
6, 85 
6, 84 
6, 81 
6, 80 
6, 93 
6, 95 
6, 94 
6, 88 
6, 91 
6, 90 
6, 100 
6, 98 
6, 110 
6, 111 
6, 108 
6, 109 
6, 106 
6, 107 
6, 104 
6, 119 
6, 114 
6, 113 
6, 112 
6, 126 
6, 122 
6, 121 
6, 120 
6, 138 
6, 141 
6, 128 
6, 131 
6, 130 
6, 132 
6, 152 
6, 153 
6, 154 
6, 155 
6, 157 
6, 159 
6, 144 
6, 145 
6, 149 
6, 150 
6, 151 
6, 171 
6, 170 
6, 169 
6, 175 
6, 174 
6, 173 
6, 172 
6, 161 
6, 160 
6, 167 
6, 166 
6, 186 
6, 191 
6, 189 
6, 178 
6, 179 
6, 176 
6, 177 
6, 182 
6, 180 
6, 181 
6, 201 
6, 200 
6, 203 
6, 202 
6, 196 
